intent,text,response
WorldCuisine,Türk mutfağından meze tarifleri verir misin,"İşte lezzetli Türk meze tarifleri:,1. Cacık: Malzemeler: Yoğurt, salatalık, nane, sarımsak. Yapılışı: Yoğurdu çırpın. Salatalık ve sarımsak ekleyin. Nane ile süsleyin. 2. Mücver: Malzemeler: Kabak, un, yumurta, soğan. Yapılışı: Kabakları rendeleyin. Un ve yumurta ile karıştırıp kızartın."
WorldCuisine,Türk mutfağından kahvaltı tarifleri verir misin,"İşte lezzetli Türk kahvaltı tarifleri:,1. Menemen: Malzemeler: Domates, yumurta, biber, soğan. Yapılışı: Soğan ve biberi kavurun. Domatesleri ekleyip yumuşatın. Yumurtaları kırıp karıştırın. 2. Gözleme: Malzemeler: Yufka, peynir, ıspanak, zeytinyağı. Yapılışı: Yufkayı ince açın. İçine peynir ve ıspanak koyun. İkiye katlayıp sac üzerinde pişirin. 3. Kaşarlı Tost: Malzemeler: Ekmek, kaşar peyniri, domates, biber. Yapılışı: Ekmek arasına peynir ve sebzeleri koyup tost makinesinde pişirin. 4. Sucuklu Yumurta: Malzemeler: Yumurta, sucuk, domates, biber. Yapılışı: Sucuğu kavurun, yumurtaları kırıp pişirin."
WorldCuisine,Türk mutfağından hamur işi tarifleri verir misin,"İşte lezzetli Türk hamur işi tarifleri:,1. Pide: Malzemeler: Hamur, peynir, sucuk, yumurta. Yapılışı: Hamuru açın. Üzerine peynir ve sucuk koyun. Kenarlarını kapatıp fırında pişirin. 2. Lahmacun: Malzemeler: Hamur, kıyma, soğan, biber, domates. Yapılışı: Hamuru ince açın. Üzerine kıymalı harç yayın. Fırında pişirin."
WorldCuisine,Türk mutfağından zeytinyağlı tarifler verir misin,"İşte lezzetli Türk zeytinyağlı tarifleri:,1. İmam Bayıldı: Malzemeler: Patlıcan, domates, soğan, sarımsak, zeytinyağı. Yapılışı: Patlıcanları kızartın. Soğan ve domatesi kavurun. Patlıcanların içini oyup harç doldurun. Zeytinyağında pişirin. 2. Kabak Mücveri: Malzemeler: Kabak, un, yumurta, soğan, maydanoz. Yapılışı: Kabakları rendeleyin. Un ve yumurta ile karıştırın. Kızartın."
WorldCuisine,Türk mutfağından daha fazla tatlı tarifi verir misin,"İşte daha fazla Türk tatlı tarifi:,1. Revani: Malzemeler: Un, şeker, yumurta, irmik, limon. Yapılışı: Hamuru hazırlayıp fırında pişirin. Limon şerbeti dökün. 2. Kabak Tatlısı: Malzemeler: Kabak, şeker, ceviz, tarçın. Yapılışı: Kabakları dilimleyip şekerle pişirin. Ceviz ve tarçınla servis edin."
WorldCuisine,Türk mutfağından sokak lezzetleri tarifleri verir misin,"İşte lezzetli Türk sokak lezzetleri:,1. Simit: Malzemeler: Un, susam, su, tuz. Yapılışı: Hamuru yoğurun. Halka şeklinde şekillendirin. Susama bulayıp fırında pişirin. 2. Balık Ekmek: Malzemeler: Balık, ekmek, soğan, limon. Yapılışı: Balığı ızgarada pişirin. Ekmeğin içine koyup soğan ve limonla servis edin."
WorldCuisine,Türk mutfağından çorba tarifleri verir misin,"İşte daha fazla Türk çorba tarifi:,1. Tavuk Çorbası: Malzemeler: Tavuk, sebze, makarna. Yapılışı: Kemikli tavuk ve sebzeleri kaynatın. Makarnaları ekleyip pişirin. 2. Ayran Aşı Çorbası: Malzemeler: Yoğurt, nohut, bulgur, nane. Yapılışı: Yoğurdu çırpın, nohut ve bulgur ekleyin. Nane ve baharatlarla tatlandırın."
WorldCuisine,Türk mutfağından et yemekleri tarifleri verir misin,"İşte lezzetli Türk et yemekleri: ,1. Tepsi Kebabı: Malzemeler: Kıyma, patates, biber, domates. Yapılışı: Malzemeleri tepsiye dizin. Fırında pişirin. 2. Fırın Tavuk: Malzemeler: Tavuk, limon, soğan, patates. Yapılışı: Tavuğu marine edin. Sebzelerle fırında pişirin."
WorldCuisine,Türk mutfağından makarna tarifleri verir misin,"İşte lezzetli Türk makarna tarifleri:,1. Fırın Makarna: Malzemeler: Makarna, kaşar peyniri, domates, beşamel. Yapılışı: Makarnayı haşlayın. Beşamel sos ve peynirle fırında pişirin. 2. Spagetti: Malzemeler: Makarna, domates sosu, köfte, peynir. Yapılışı: Makarnayı haşlayın. Köfte ve domates sosu ile karıştırın."
WorldCuisine,Türk mutfağından daha fazla kahvaltı tarifi verir misin,"İşte daha fazla Türk kahvaltı tarifi:,1. Kaşarlı Tost: Malzemeler: Ekmek, kaşar peyniri, domates, biber. Yapılışı: Ekmek arasına peynir ve sebzeleri koyup tost makinesinde pişirin. 2. Omlet: Malzemeler: Yumurta, süt, peynir, maydanoz. Yapılışı: Yumurtaları çırpın, malzemeleri ekleyip tavada pişirin. 3. Sucuklu Yumurta: Malzemeler: Yumurta, sucuk, domates, biber. Yapılışı: Sucuğu kavurun, yumurtaları kırıp pişirin."
